recorte,numero_mask,8_layers_8channels,32_layers_8channels,64_layers_8channels,8_layers_1channels,32_layers_1channels
138,113.0,0.0,0.10084033613445378,0.0,0.0,0.3660130718954248
142,0.0,0.0,0.0,0.0,1.0,0.0
145,28.0,0.84,0.8571428571428571,0.782608695652174,0.8627450980392157,0.8085106382978723
150,7.0,0.25,0.8333333333333334,0.0,0.4444444444444444,0.6
153,0.0,1.0,1.0,1.0,1.0,1.0
169,0.0,1.0,1.0,1.0,1.0,1.0
171,0.0,1.0,1.0,1.0,1.0,1.0
173,715.0,0.8478099480326652,0.8409947249434815,0.8694992412746586,0.8383311603650587,0.8375350140056023
175,282.0,0.8962962962962963,0.9087591240875912,0.783157894736842,0.8973384030418251,0.7678958785249458
177,88.0,0.65,0.6761904761904762,0.5729166666666666,0.47619047619047616,0.4819277108433735
191,99.0,0.8598130841121495,0.95,0.9552238805970149,0.9468085106382979,0.9354838709677419
197,0.0,1.0,1.0,1.0,1.0,1.0
198,0.0,1.0,1.0,1.0,1.0,1.0
200,19.0,0.9473684210526315,0.95,0.6896551724137931,0.9230769230769231,0.8125
211,0.0,1.0,1.0,1.0,1.0,1.0
217,218.0,0.7588075880758808,0.8082901554404145,0.6246056782334385,0.7946666666666666,0.7380281690140845
220,0.0,1.0,1.0,1.0,1.0,1.0
224,0.0,1.0,1.0,1.0,1.0,1.0
229,149.0,0.3568075117370892,0.5585585585585585,0.34444444444444444,0.7313432835820896,0.7389558232931727
231,67.0,0.6993865030674846,0.8088235294117647,0.5370370370370371,0.5256410256410257,0.576
245,453.0,0.8854282536151279,0.8981288981288982,0.8530465949820788,0.8011639185257032,0.8734030197444832
251,87.0,0.41818181818181815,0.6363636363636364,0.6259541984732825,0.4462809917355372,0.4036697247706422
258,15.0,0.8888888888888888,0.8275862068965517,0.125,0.875,0.72
262,0.0,1.0,1.0,1.0,1.0,1.0
267,60.0,0.7540983606557377,0.8095238095238095,0.8256880733944955,0.8495575221238938,0.8490566037735849
280,0.0,0.0,1.0,0.0,1.0,1.0
281,0.0,1.0,1.0,1.0,1.0,1.0
289,128.0,0.6086956521739131,0.847457627118644,0.5266106442577031,0.8202764976958525,0.729064039408867
295,0.0,1.0,1.0,1.0,1.0,1.0
298,0.0,1.0,1.0,1.0,1.0,1.0
305,0.0,0.0,0.0,0.0,0.0,0.0
310,0.0,1.0,1.0,1.0,1.0,0.0
323,587.0,0.9016253207869974,0.9187817258883249,0.8768382352941176,0.8758389261744967,0.8568856885688569
324,230.0,0.8,0.7830882352941176,0.7682119205298014,0.6830122591943958,0.7725321888412017
333,0.0,1.0,1.0,1.0,1.0,0.0
340,1101.0,0.9118181818181819,0.9284420289855072,0.892627412172192,0.899909008189263,0.7967479674796748
344,958.0,0.8647398843930636,0.9076923076923077,0.7894073139974779,0.9105527638190954,0.8667425968109339
359,135.0,0.8897338403041825,0.8973384030418251,0.8790322580645161,0.8773234200743495,0.8951612903225806
360,386.0,0.806312769010043,0.8356164383561644,0.7970149253731343,0.8159437280187574,0.8089887640449438
362,0.0,1.0,1.0,1.0,1.0,1.0
378,51.0,0.8932038834951457,0.8775510204081632,0.9278350515463918,0.8849557522123894,0.92
386,283.0,0.9215358931552587,0.8983364140480592,0.8871595330739299,0.9006622516556292,0.8406374501992032
388,464.0,0.9065520945220193,0.9112554112554112,0.8906789413118527,0.849615806805708,0.8568102444703143
391,0.0,1.0,1.0,1.0,1.0,0.0
401,122.0,0.8508771929824561,0.8782608695652174,0.8288288288288288,0.8153846153846154,0.8646288209606987
402,334.0,0.9107413010590015,0.9046153846153846,0.8618421052631579,0.8722222222222222,0.8392282958199357
403,9.0,0.0,0.0,0.17142857142857143,0.4,0.17647058823529413
415,445.0,0.8896396396396397,0.909297052154195,0.8267008985879333,0.8367768595041323,0.861397479954181
420,114.0,0.7651515151515151,0.8115942028985508,0.6263736263736264,0.656,0.7106598984771574
425,0.0,1.0,1.0,1.0,1.0,1.0
434,0.0,1.0,1.0,1.0,1.0,1.0
435,34.0,0.8311688311688312,0.9090909090909091,0.9253731343283582,0.9032258064516129,0.8666666666666667
442,460.0,0.9572836801752465,0.9647577092511013,0.9387755102040817,0.9459757442116868,0.9014084507042254
