ID,layers8_limiar0.05_8ch,layers8_limiar0.05_1ch,layers8_limiar0.10_8ch,layers8_limiar0.10_1ch,layers8_limiar0.15_8ch,layers8_limiar0.15_1ch,layers8_limiar0.20_8ch,layers8_limiar0.20_1ch,layers8_limiar0.25_8ch,layers8_limiar0.25_1ch,layers8_limiar0.30_8ch,layers8_limiar0.30_1ch,layers8_limiar0.35_8ch,layers8_limiar0.35_1ch,layers8_limiar0.40_8ch,layers8_limiar0.40_1ch,layers8_limiar0.45_8ch,layers8_limiar0.45_1ch,layers32_limiar0.05_8ch,layers32_limiar0.05_1ch,layers32_limiar0.10_8ch,layers32_limiar0.10_1ch,layers32_limiar0.15_8ch,layers32_limiar0.15_1ch,layers32_limiar0.20_8ch,layers32_limiar0.20_1ch,layers32_limiar0.25_8ch,layers32_limiar0.25_1ch,layers32_limiar0.30_8ch,layers32_limiar0.30_1ch,layers32_limiar0.35_8ch,layers32_limiar0.35_1ch,layers32_limiar0.40_8ch,layers32_limiar0.40_1ch,layers32_limiar0.45_8ch,layers32_limiar0.45_1ch,layers64_limiar0.05_8ch,layers64_limiar0.10_8ch,layers64_limiar0.15_8ch,layers64_limiar0.20_8ch,layers64_limiar0.25_8ch,layers64_limiar0.30_8ch,layers64_limiar0.35_8ch,layers64_limiar0.40_8ch,layers64_limiar0.45_8ch
3,0.9653179190751445,0.940032414910859,0.9675,0.9450819672131148,0.9686585875470122,0.9484960857025134,0.9698239731768651,0.9495867768595041,0.9705882352941176,0.9503722084367245,0.9713804713804713,0.9494195688225538,0.97089835512442,0.9513513513513514,0.9712595097210481,0.9504373177842566,0.9716462124418113,0.9512296790329304,0.9557739557739557,0.9468267581475128,0.9572368421052632,0.944372574385511,0.9591078066914498,0.94061551798873,0.9599007854485324,0.9392361111111112,0.9602319801159901,0.939538929969552,0.9597343295973433,0.9389179755671903,0.9601328903654485,0.9378827646544182,0.9600665557404326,0.9358523725834798,0.9596001665972511,0.9353846153846154,0.9645021645021645,0.9635099913119027,0.9616724738675958,0.9597902097902098,0.9601052170100833,0.9582784365393061,0.9578207381370826,0.9555261999119331,0.9527593818984548
12,0.6564885496183206,0.6564885496183206,0.671875,0.672,0.671875,0.6774193548387096,0.671875,0.6829268292682927,0.6825396825396826,0.6829268292682927,0.688,0.6885245901639344,0.688,0.6942148760330579,0.6774193548387096,0.6890756302521008,0.6829268292682927,0.6949152542372882,0.656,0.7192982456140351,0.6451612903225806,0.7142857142857143,0.6451612903225806,0.7155963302752294,0.6504065040650406,0.7037037037037037,0.6557377049180327,0.7037037037037037,0.6557377049180327,0.6857142857142857,0.6666666666666666,0.7058823529411765,0.6666666666666666,0.72,0.6610169491525424,0.72,0.6890756302521008,0.7068965517241379,0.7017543859649122,0.6964285714285714,0.6964285714285714,0.6964285714285714,0.7027027027027027,0.7090909090909091,0.7090909090909091
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5555555555555556,0.4,0.5882352941176471,0.42857142857142855,0.5882352941176471,0.42857142857142855,0.5882352941176471,0.3076923076923077,0.5882352941176471,0.3076923076923077,0.5,0.3076923076923077,0.5333333333333333,0.3076923076923077,0.5333333333333333,0.16666666666666666,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.9148834997622444,0.8460471567267683,0.9134615384615384,0.8591682419659735,0.910411622276029,0.8624641833810889,0.9081186193485659,0.8647087144920559,0.9091796875,0.8672480620155039,0.910871694417238,0.8670238675109596,0.912211868563021,0.8660801564027371,0.9121256750122729,0.8682399213372665,0.9117792015771315,0.8677196446199408,0.9121495327102803,0.8661087866108786,0.9149835603569751,0.8563829787234043,0.9169811320754717,0.8545454545454545,0.9162328442972077,0.8523886205045625,0.9187648456057007,0.8500539374325782,0.9192015209125475,0.8476964769647697,0.919047619047619,0.8440567066521265,0.9208015267175572,0.8407224958949097,0.9206500956022945,0.8389224848818032,0.9096415951539626,0.9076142131979695,0.9067753438614365,0.9076059213884635,0.9072270630445926,0.9044193216855088,0.9056214543579164,0.9048603929679421,0.9053285049146405
26,0.9098497495826378,0.8536977491961415,0.9147679324894514,0.8702791461412152,0.9178662150719729,0.8725165562913907,0.9191489361702128,0.8781302170283807,0.9204448246364414,0.8793969849246231,0.9203084832904884,0.8814129520605551,0.9201716738197425,0.8812131423757371,0.921619293712317,0.8798646362098139,0.9197584124245038,0.8802039082412915,0.9191919191919192,0.8951541850220265,0.9203389830508475,0.895017793594306,0.9219015280135824,0.8918677390527256,0.92399658411614,0.8906810035842294,0.9253218884120171,0.8918918918918919,0.9242685025817556,0.8918918918918919,0.9221453287197232,0.8916967509025271,0.922943722943723,0.890497737556561,0.9237435008665511,0.890497737556561,0.9297297297297298,0.9301903898458749,0.9272727272727272,0.9271402550091075,0.9251824817518248,0.9222323879231473,0.9201101928374655,0.9191176470588235,0.9171270718232044
28,0.8823529411764706,0.21818181818181817,0.8910891089108911,0.21818181818181817,0.88,0.21818181818181817,0.88,0.21818181818181817,0.88,0.21818181818181817,0.88,0.21818181818181817,0.88,0.18518518518518517,0.88,0.18518518518518517,0.88,0.18867924528301888,0.84,0.7654320987654321,0.8282828282828283,0.75,0.8282828282828283,0.7368421052631579,0.8367346938775511,0.72,0.8367346938775511,0.72,0.8367346938775511,0.684931506849315,0.8367346938775511,0.6666666666666666,0.8247422680412371,0.6666666666666666,0.8247422680412371,0.6666666666666666,0.8444444444444444,0.8444444444444444,0.8314606741573034,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8275862068965517
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,0.8220858895705522,0.8272727272727273,0.8486140724946695,0.8477751756440282,0.8552915766738661,0.851063829787234,0.8590021691973969,0.8564593301435407,0.8615384615384616,0.8585131894484412,0.8653421633554084,0.8585131894484412,0.8691796008869179,0.8605769230769231,0.8641425389755011,0.8640776699029126,0.8590604026845637,0.8682926829268293,0.7803921568627451,0.8592964824120602,0.7872763419483101,0.8571428571428571,0.7943548387096774,0.8571428571428571,0.8016359918200409,0.8571428571428571,0.8032786885245902,0.8564102564102564,0.8041237113402062,0.8586118251928021,0.8024948024948025,0.8586118251928021,0.8024948024948025,0.8556701030927835,0.8016701461377871,0.8527131782945736,0.64576802507837,0.6858108108108109,0.7073170731707317,0.7262969588550984,0.7385740402193784,0.7509293680297398,0.7518796992481203,0.7633587786259542,0.7736943907156673
34,0.0,0.2824858757062147,0.0,0.2962962962962963,0.0,0.3076923076923077,0.0,0.3137254901960784,0.0,0.30666666666666664,0.0,0.2876712328767123,0.0,0.28169014084507044,0.0,0.28169014084507044,0.0,0.28776978417266186,0.038834951456310676,0.24489795918367346,0.031914893617021274,0.25,0.03333333333333333,0.25263157894736843,0.023255813953488372,0.25396825396825395,0.024242424242424242,0.2553191489361702,0.025,0.2553191489361702,0.025806451612903226,0.25806451612903225,0.013157894736842105,0.25,0.013245033112582781,0.25136612021857924,0.010566356720202874,0.012285012285012284,0.012941493664060394,0.014055636896046853,0.015018773466833541,0.015909844216108717,0.016701461377870562,0.0175054704595186,0.01770592763664357
38,0.9242254572601717,0.8871624121346652,0.9275797373358349,0.8937288772061585,0.9290030211480362,0.8929110105580694,0.9288417865253595,0.8933434190620272,0.9298445202882063,0.8970755791872389,0.9307984790874525,0.8993135011441648,0.9303917839482693,0.8990053557765876,0.9306930693069307,0.9002302379125096,0.9312452253628725,0.8994994224104736,0.9264384559359068,0.9038385437277404,0.9287812041116006,0.9004777070063694,0.930437983069562,0.898921294446664,0.9324972334931759,0.8992,0.9322974472807991,0.8989574979951884,0.9321971100407558,0.8979919678714859,0.9327887114741924,0.8966626457579413,0.9333829549683662,0.8963291649858814,0.9335324869305451,0.8953535353535353,0.9340952380952381,0.9357306809487376,0.9343570057581574,0.934924913361571,0.9335907335907336,0.9337979094076655,0.9341085271317829,0.9324534161490683,0.9327633113097551
55,0.7422680412371134,0.7014084507042253,0.7407407407407407,0.7001434720229556,0.7366548042704626,0.7024673439767779,0.7311827956989247,0.7036496350364964,0.7315315315315315,0.7077826725403817,0.7328519855595668,0.7091988130563798,0.7358834244080146,0.7072808320950966,0.7372262773722628,0.7104477611940299,0.7349177330895795,0.7106446776611695,0.7361111111111112,0.7234726688102894,0.7224199288256228,0.7326732673267327,0.7210144927536232,0.7296849087893864,0.7153284671532847,0.7278797996661102,0.7106227106227107,0.7315436241610739,0.7058823529411765,0.7306397306397306,0.7097966728280961,0.735593220338983,0.7063197026022305,0.7325383304940375,0.701688555347092,0.7307032590051458,0.6637931034482759,0.6520787746170679,0.64,0.64,0.6278026905829597,0.6306306306306306,0.6275395033860045,0.6227272727272727,0.6192660550458715
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.8739076154806492,0.8235294117647058,0.8813131313131313,0.8306148055207027,0.8888888888888888,0.8348045397225725,0.8908857509627728,0.8422391857506362,0.8931788931788932,0.8527131782945736,0.8970013037809648,0.8552803129074316,0.8979057591623036,0.857516339869281,0.8979057591623036,0.8608923884514436,0.8976377952755905,0.8620689655172413,0.8672566371681416,0.8926553672316384,0.8746803069053708,0.883453237410072,0.8811369509043928,0.8831168831168831,0.8842652795838751,0.8827785817655571,0.8839634941329857,0.8808139534883721,0.8859764089121888,0.8817518248175182,0.8894736842105263,0.8814055636896047,0.8880105401844532,0.8823529411764706,0.8891820580474934,0.8740740740740741,0.901685393258427,0.9078014184397163,0.9072753209700428,0.9083094555873925,0.9062049062049062,0.9046242774566474,0.9014492753623189,0.8998548621190131,0.8998548621190131
65,0.9667549279199764,0.9536768963520555,0.9651711924439197,0.9560151471016604,0.9656601539372409,0.9570049722140976,0.9634689634689635,0.9565727699530516,0.9634037488842606,0.9573403942335981,0.962432915921288,0.9584193453258626,0.9626977021784542,0.9592439456585942,0.962940824865511,0.9588879029872819,0.9616306954436451,0.9596917605216361,0.9644200173560891,0.9562289562289562,0.9668797210923882,0.9509713228492137,0.9679860302677532,0.9476942123181678,0.9685314685314685,0.9457364341085271,0.9690781796966161,0.9437713575644611,0.970743124634289,0.9421281891723708,0.9704245973645681,0.9414694894146949,0.9706916764361079,0.9404799002804612,0.9706916764361079,0.9391195753980643,0.9710188228264117,0.9685157421289355,0.967218045112782,0.9665561916239831,0.9658919408391187,0.9652672908486862,0.9646205019655276,0.9627385640714935,0.9608497723823975
75,0.7967032967032966,0.8324607329842932,0.7932960893854749,0.8373333333333334,0.7865168539325843,0.8378378378378378,0.7771428571428571,0.8351648351648352,0.7758620689655172,0.8365650969529086,0.7710144927536232,0.8356545961002786,0.7674418604651163,0.8379888268156425,0.7638483965014577,0.828169014084507,0.7638483965014577,0.8248587570621468,0.8067632850241546,0.7965616045845272,0.8186274509803921,0.7861271676300579,0.8138957816377171,0.7861271676300579,0.8138957816377171,0.782608695652174,0.8120300751879699,0.7741935483870968,0.8181818181818182,0.7705882352941177,0.8181818181818182,0.7633136094674556,0.8202531645569621,0.7633136094674556,0.8193384223918575,0.7633136094674556,0.7633136094674556,0.764179104477612,0.7604790419161677,0.7530120481927711,0.7416413373860182,0.7378048780487805,0.7323076923076923,0.7323076923076923,0.7323076923076923
85,0.9166666666666666,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0,0.3,0.7368421052631579,0.3157894736842105,0.6666666666666666,0.33962264150943394,0.6666666666666666,0.34615384615384615,0.6666666666666666,0.34615384615384615,0.6666666666666666,0.36,0.6666666666666666,0.36,0.5882352941176471,0.36,0.5882352941176471,0.36,0.5882352941176471,0.3333333333333333,0.35294117647058826,0.375,0.375,0.375,0.375,0.375,0.375,0.4
90,0.6721311475409836,0.4918032786885246,0.6554621848739496,0.5272727272727272,0.631578947368421,0.5167464114832536,0.625,0.5170731707317073,0.6055045871559633,0.5247524752475248,0.5794392523364486,0.5279187817258884,0.5849056603773585,0.5368421052631579,0.5849056603773585,0.5396825396825397,0.5904761904761905,0.5396825396825397,0.5901639344262295,0.5454545454545454,0.559322033898305,0.53125,0.559322033898305,0.5079365079365079,0.5470085470085471,0.512,0.5087719298245614,0.5040650406504065,0.5087719298245614,0.5040650406504065,0.5,0.5040650406504065,0.5045045045045045,0.5040650406504065,0.5045045045045045,0.5081967213114754,0.33962264150943394,0.34285714285714286,0.3269230769230769,0.3269230769230769,0.3269230769230769,0.3269230769230769,0.3300970873786408,0.3300970873786408,0.3300970873786408
